gene,gene_name,tpm
ENSG00000175279,APITD1,19.002893235221805
ENSG00000251503,APITD1-CORT,0.4533725610526448
ENSG00000160049,DFFA,70.73063201457437
ENSG00000142655,PEX14,11.49782544177773
ENSG00000120948,TARDBP,60.44746280194001
ENSG00000271895,RP4-635E18.8,2.4006448724590865
ENSG00000116649,SRM,548.3936632439917
ENSG00000171824,EXOSC10,24.3048039696864
ENSG00000230337,RP4-635E18.6,2.131753535019784
ENSG00000198793,MTOR,15.84998967539551
ENSG00000120942,UBIAD1,18.026868114032943
ENSG00000116661,FBXO2,1.0362801395489025
ENSG00000132879,FBXO44,5.1283125758413926
ENSG00000116663,FBXO6,11.95624137441117
ENSG00000116670,MAD2L2,123.92307207723401
ENSG00000177674,AGTRAP,64.12832773409284
ENSG00000215910,C1orf167,0.2957008390003784
ENSG00000177000,MTHFR,16.708955487787993
ENSG00000011021,CLCN6,4.971437175617673
ENSG00000242349,NPPA-AS1,0.8703797586016525
ENSG00000116685,KIAA2013,21.929375955131295
ENSG00000083444,PLOD1,18.547928030512068
ENSG00000116688,MFN2,17.109239926937516
ENSG00000116691,MIIP,57.95524091919805
ENSG00000120949,TNFRSF8,3.038233216515558
ENSG00000028137,TNFRSF1B,8.683358659083822
ENSG00000048707,VPS13D,11.847410724509775
ENSG00000162496,DHRS3,11.430668967570284
ENSG00000116731,PRDM2,12.619577457590657
ENSG00000234593,RP4-704D23.1,0.8149026712128921
ENSG00000189337,KAZN,11.314936861821483
ENSG00000171729,TMEM51,0.9232024398952569
ENSG00000142634,EFHD2,33.2464363418289
ENSG00000132906,CASP9,9.498261330296716
ENSG00000116138,DNAJC16,8.859611223802181
ENSG00000116771,AGMAT,0.7222638984919477
ENSG00000197312,DDI2,18.75815699324842
ENSG00000116786,PLEKHM2,9.195659035448932
ENSG00000162458,FBLIM1,0.3548940949223572
ENSG00000179743,RP11-169K16.9,12.608959833210033
ENSG00000065526,SPEN,36.07789132353181
ENSG00000116809,ZBTB17,9.072760033243208
ENSG00000185519,FAM131C,0.45894681385247243
ENSG00000142632,ARHGEF19,7.179106724958918
ENSG00000204377,C1orf134,0.8924113291914473
ENSG00000132881,RSG1,7.1300002121985315
ENSG00000037637,FBXO42,7.962421963639454
ENSG00000055070,SZRD1,53.66173906028322
ENSG00000157191,NECAP2,46.81071692868558
ENSG00000226029,RP4-798A10.2,0.46080489811908165
ENSG00000261135,RP4-798A10.7,3.174669689806576
ENSG00000219481,NBPF1,20.292138275639076
ENSG00000215908,CROCCP2,21.239495811000253
ENSG00000058453,CROCC,0.9099304094194768
ENSG00000272426,RP11-108M9.6,0.7721667330808805
ENSG00000159363,ATP13A2,10.22317963488382
ENSG00000117118,SDHB,163.97699829069998
ENSG00000179051,RCC2,32.49470853568072
ENSG00000159423,ALDH4A1,3.1314028704555334
ENSG00000169991,IFFO2,0.7955255067182533
ENSG00000127481,UBR4,30.012573396100347
ENSG00000230424,RP1-43E13.2,0.9930133201978596
ENSG00000127463,EMC1,10.622933192814312
ENSG00000053372,MRTO4,100.99325046483841
ENSG00000053371,AKR7A2,54.476110850277074
ENSG00000040487,PQLC2,11.496232798120635
ENSG00000077549,CAPZB,135.07131223627968
ENSG00000270136,MINOS1-NBL1,0.44673654581475486
ENSG00000173436,MINOS1,108.00698769006911
ENSG00000158747,NBL1,3.1008772003612393
ENSG00000162542,TMCO4,2.4245345273154904
ENSG00000169914,OTUD3,4.636451126408985
ENSG00000225986,UBXN10-AS1,2.250405487473257
ENSG00000162543,UBXN10,7.516747180262762
ENSG00000162545,CAMK2N1,0.3745367000265116
ENSG00000090432,MUL1,11.570556168785005
ENSG00000158828,PINK1,9.85395174704762
ENSG00000244038,DDOST,71.28301392297632
ENSG00000117245,KIF17,0.5199981540410604
ENSG00000127483,HP1BP3,87.94047393251829
ENSG00000075151,EIF4G3,10.760165987933878
ENSG00000117298,ECE1,3.631227538173408
ENSG00000142794,NBPF3,0.4769967752995332
ENSG00000076864,RAP1GAP,12.127981448767764
ENSG00000090686,USP48,48.12278986152119
ENSG00000142798,HSPG2,2.9846142133934066
ENSG00000228397,RP1-224A6.3,0.3886050523308385
ENSG00000218510,LINC00339,6.1462773133337185
ENSG00000070831,CDC42,206.6813489901792
ENSG00000184677,ZBTB40,4.796511813946893
ENSG00000004487,KDM1A,45.93874452642683
ENSG00000169641,LUZP1,15.852378640881147
ENSG00000261326,RP5-1057J7.6,3.5574350487280717
ENSG00000125944,HNRNPR,169.13583653663568
ENSG00000125945,ZNF436,0.8671944712874653
ENSG00000249087,C1orf213,14.267698202073017
ENSG00000088280,ASAP3,1.2170451946290262
ENSG00000007968,E2F2,5.2190932642957275
ENSG00000117318,ID3,17.499703063534962
ENSG00000142676,RPL11,5979.226778225437
ENSG00000011007,TCEB3,47.532980827177525
ENSG00000236810,RP5-886K2.3,25.18208518413546
ENSG00000057757,PITHD1,73.37866753510198
ENSG00000011009,LYPLA2,43.57765030478557
ENSG00000117308,GALE,65.70212510791083
ENSG00000117305,HMGCL,16.486516257013914
ENSG00000179163,FUCA1,12.377495621712429
ENSG00000189266,PNRC2,2.657591382470187
ENSG00000188529,SRSF10,29.28420436358954
ENSG00000001460,STPG1,6.390748114697586
ENSG00000001461,NIPAL3,10.257421473511332
ENSG00000117602,RCAN3,0.5215907976981541
ENSG00000133226,SRRM1,137.42391235841646
ENSG00000169504,CLIC4,15.405111213847361
ENSG00000020633,RUNX3,0.854718762640232
ENSG00000117614,SYF2,64.22786796266118
ENSG00000117616,C1orf63,73.82593496213576
ENSG00000272432,RP3-465N24.6,0.7469498751768985
ENSG00000187010,RHD,6.822885426988983
ENSG00000183726,TMEM50A,120.64010261874506
ENSG00000188672,RHCE,13.49048809741134
ENSG00000204178,TMEM57,23.88646956908981
ENSG00000157978,LDLRAP1,12.048349265913085
ENSG00000225643,RP11-70P17.1,0.4647865072618156
ENSG00000162430,SEPN1,5.8975594622176
ENSG00000117640,MTFR1L,34.526656401522644
ENSG00000223474,AL020996.1,0.38037639343585483
ENSG00000127423,AUNIP,15.782567760578548
ENSG00000182749,PAQR7,1.607242890616958
ENSG00000117632,STMN1,529.3504230361235
ENSG00000158006,PAFAH2,5.329251117244701
ENSG00000175087,PDIK1L,9.93172584563569
ENSG00000197245,FAM110D,2.040972846565449
ENSG00000142684,ZNF593,243.6909368531108
ENSG00000142675,CNKSR1,0.6970470405879656
ENSG00000130695,CEP85,14.751596433219955
ENSG00000142669,SH3BGRL3,374.9083168798335
ENSG00000158062,UBXN11,12.517913704146181
ENSG00000169442,CD52,12.686999372407618
ENSG00000176092,AIM1L,6.671318838955575
ENSG00000131914,LIN28A,22.736580848668236
ENSG00000117682,DHDDS,14.572954903015956
ENSG00000198830,HMGN2,894.594578204713
ENSG00000117676,RPS6KA1,4.416135420511037
ENSG00000117713,ARID1A,34.03320230843314
ENSG00000060642,PIGV,6.4940045117991545
ENSG00000204160,ZDHHC18,4.158923469890421
ENSG00000175793,SFN,0.7795990701473173
ENSG00000142751,GPN2,16.117553809787232
ENSG00000198746,GPATCH3,7.5754095549657094
ENSG00000090273,NUDC,263.36539483040707
ENSG00000175707,C1orf172,5.02585250056837
ENSG00000253368,TRNP1,0.46903355701406524
ENSG00000090020,SLC9A1,1.9706310850438147
ENSG00000142784,WDTC1,7.702821047533196
ENSG00000186501,TMEM222,20.769135050938605
ENSG00000142765,SYTL1,0.7477461970054453
ENSG00000142733,MAP3K6,0.8674599118969809
ENSG00000174950,CD164L2,0.6763426730457489
ENSG00000181773,GPR3,3.465327157226158
ENSG00000158195,WASF2,133.58192497628764
ENSG00000237429,RP1-159A19.4,0.6163530952952232
ENSG00000126705,AHDC1,5.0951324996519425
ENSG00000126709,IFI6,3.6928097595810274
ENSG00000009780,FAM76A,9.070105627148052
ENSG00000117758,STX12,14.971381257898873
ENSG00000117751,PPP1R8,34.671056093099125
ENSG00000130775,THEMIS2,2.683870002812232
ENSG00000117748,RPA2,64.4017315618939
ENSG00000130768,SMPDL3B,1.4721336203735176
ENSG00000158161,EYA3,10.98632138724117
ENSG00000169403,PTAFR,0.3745367000265116
ENSG00000126698,DNAJC8,128.31531784288865
ENSG00000130770,ATPIF1,346.7400248386475
ENSG00000270605,RP5-1092A3.4,1.709437525280464
ENSG00000130766,SESN2,15.482885312435434
ENSG00000130772,MED18,6.308196085138234
ENSG00000204138,PHACTR4,14.831494056684152
ENSG00000180198,RCC1,54.93134149559633
ENSG00000180098,TRNAU1AP,22.439287366010763
ENSG00000197989,SNHG12,15.509694813996509
ENSG00000120656,TAF12,70.93130511536815
ENSG00000162419,GMEB1,7.115931859894205
ENSG00000198492,YTHDF2,63.98233539885926
ENSG00000159023,EPB41,98.42564344899401
ENSG00000116350,SRSF4,75.78913371011315
ENSG00000116353,MECR,26.751900948810714
ENSG00000162510,MATN1,0.33684413347529646
ENSG00000186056,MATN1-AS1,2.4447080136386763
ENSG00000162511,LAPTM5,0.6083898770097552
ENSG00000162512,SDC3,4.548059403440291
ENSG00000134644,PUM1,26.051668620908565
ENSG00000060688,SNRNP40,87.73847362867691
ENSG00000121766,ZCCHC17,67.18328370900788
ENSG00000168528,SERINC2,4.645210666523
ENSG00000142910,TINAGL1,1.6436082541205954
ENSG00000162517,PEF1,38.93960653471949
ENSG00000134668,SPOCD1,0.6628052019604532
ENSG00000184007,PTP4A2,394.0017253629001
ENSG00000121774,KHDRBS1,138.9682458245782
ENSG00000203325,RP11-277A4.4,0.5091150890509207
ENSG00000121775,TMEM39B,11.266361230280127
ENSG00000025800,KPNA6,27.398514273590717
ENSG00000084652,TXLNA,17.759569420250735
ENSG00000160050,CCDC28B,53.866393770219744
ENSG00000160051,IQCC,4.16502860390928
ENSG00000160055,TMEM234,10.56639434298749
ENSG00000084623,EIF3I,322.6048374184416
