effect_sign,background,target,assay,pos_overlap,pos_total,pos_frac,bg_overlap,bg_total,bg_frac,odds_ratio,p_value,FDR,log2_OR
neg,powered,POLR2AphosphoS5,TF ChIP-seq,23,47,0.48936170212765956,63,476,0.1323529411764706,6.282407407407407,4.1027793226935173e-08,6.5234191230826925e-06,2.642937839961538
neg,powered,TAF7,TF ChIP-seq,16,47,0.3404255319148936,29,476,0.06092436974789916,7.955506117908787,1.40730945599231e-07,1.1188110175138864e-05,2.9902150186483145
neg,powered,H4K91ac,Histone ChIP-seq,10,47,0.2127659574468085,12,476,0.025210084033613446,10.45045045045045,3.8140616142707743e-06,0.00020214526555635103,3.379177328890808
neg,powered,NFATC4,TF ChIP-seq,9,47,0.19148936170212766,10,476,0.02100840336134454,11.036842105263158,8.37175765442274e-06,0.0003327773667633039,3.454556820821683
neg,powered,POLR2A,TF ChIP-seq,21,47,0.44680851063829785,77,476,0.16176470588235295,4.185314685314685,1.4965500097962648e-05,0.0004759029031152122,2.064271587792638
neg,powered,ZNF416,TF ChIP-seq,10,47,0.2127659574468085,17,476,0.03571428571428571,7.297297297297297,3.524942318596275e-05,0.0009341097144280129,2.8781367666269477
neg,powered,SIN3A,TF ChIP-seq,24,47,0.5106382978723404,110,476,0.23109243697478993,3.4719367588932806,8.363817607640061e-05,0.0018997814280210998,1.7898878211799512
neg,powered,ZNF671,TF ChIP-seq,6,47,0.1276595744680851,6,476,0.012605042016806723,11.463414634146341,0.00023545689487194886,0.0037437646284639867,3.5030114813816122
neg,powered,ZNF425,TF ChIP-seq,5,47,0.10638297872340426,3,476,0.0063025210084033615,18.76984126984127,0.00021771653531999516,0.0037437646284639867,4.129906375910377
neg,powered,H3K4ac,Histone ChIP-seq,6,47,0.1276595744680851,6,476,0.012605042016806723,11.463414634146341,0.00023545689487194886,0.0037437646284639867,3.5030114813816122
neg,powered,H3K9ac,Histone ChIP-seq,21,47,0.44680851063829785,98,476,0.20588235294117646,3.1153846153846154,0.00043289398640588477,0.0062572858035032436,1.640441970668254
neg,powered,TCF12,TF ChIP-seq,14,47,0.2978723404255319,49,476,0.10294117647058823,3.696969696969697,0.00048322506631223787,0.006402732128637152,1.9023157943634503
neg,powered,MYC,TF ChIP-seq,10,47,0.2127659574468085,26,476,0.0546218487394958,4.6777546777546775,0.0005683373212666084,0.006951202621645442,2.250961573533219
neg,powered,H2BK5ac,Histone ChIP-seq,33,47,0.7021276595744681,209,476,0.43907563025210083,3.011278195488722,0.0006503078139983478,0.007385638744695522,1.560696842919358
neg,powered,TAF1,TF ChIP-seq,19,47,0.40425531914893614,84,476,0.17647058823529413,3.1666666666666665,0.0007420778171011847,0.007866024861272558,1.6681816121943116
neg,powered,H3K18ac,Histone ChIP-seq,23,47,0.48936170212765956,118,476,0.24789915966386555,2.9074858757062145,0.0008430998118685967,0.00837830438044418,1.5369650673660749
neg,powered,H4K5ac,Histone ChIP-seq,21,47,0.44680851063829785,106,476,0.22268907563025211,2.8193033381712627,0.0012111181539609963,0.010135146656831495,1.4969644122188943
neg,powered,H2AK5ac,Histone ChIP-seq,24,47,0.5106382978723404,129,476,0.2710084033613445,2.806875631951466,0.001160092535198012,0.010135146656831495,1.4841818723618867
neg,powered,ZNF281,TF ChIP-seq,12,47,0.2553191489361702,41,476,0.0861344537815126,3.637630662020906,0.001152517036044039,0.010135146656831495,1.8855985475219825
neg,powered,ERG,TF ChIP-seq,6,47,0.1276595744680851,10,476,0.02100840336134454,6.819512195121951,0.001539651383176311,0.012240228496251672,2.798816134867166
neg,powered,H2BK120ac,Histone ChIP-seq,14,47,0.2978723404255319,57,476,0.11974789915966387,3.1185539606592236,0.002553651811254264,0.019334792285210855,1.6589287541652478
neg,powered,PRRX2,TF ChIP-seq,5,47,0.10638297872340426,8,476,0.01680672268907563,6.964285714285714,0.003530110001328924,0.025513067736877223,2.834483078908443
neg,powered,H3K14ac,Histone ChIP-seq,21,47,0.44680851063829785,117,476,0.24579831932773108,2.478303747534517,0.004949345363173968,0.034215039684550475,1.311675314013197
neg,powered,EMX1,TF ChIP-seq,6,47,0.1276595744680851,14,476,0.029411764705882353,4.829268292682927,0.00562350860492652,0.037255744507638196,2.32072884707027
neg,powered,EGR1,TF ChIP-seq,10,47,0.2127659574468085,39,476,0.0819327731092437,3.0284130284130284,0.00737483116987625,0.04509992907732015,1.6328571908254677
neg,powered,CREB1,TF ChIP-seq,5,47,0.10638297872340426,10,476,0.02100840336134454,5.5476190476190474,0.007166770428916785,0.04509992907732015,2.523456530572594
neg,powered,BRCA1,TF ChIP-seq,4,47,0.0851063829787234,6,476,0.012605042016806723,7.286821705426356,0.008066779122179917,0.04750436594172618,2.9045927001810288
neg,powered,AFF4,TF ChIP-seq,5,47,0.10638297872340426,11,476,0.023109243697478993,5.032467532467533,0.009724551813344275,0.053317370286956545,2.389116084001376
neg,powered,AR,TF ChIP-seq,5,47,0.10638297872340426,11,476,0.023109243697478993,5.032467532467533,0.009724551813344275,0.053317370286956545,2.389116084001376
neg,powered,H2AFZ,Histone ChIP-seq,9,47,0.19148936170212766,183,476,0.38445378151260506,0.37920621225194134,0.010463431718092171,0.0554561881058885,-1.3412785869844763
neg,powered,NRF1,TF ChIP-seq,6,47,0.1276595744680851,17,476,0.03571428571428571,3.951219512195122,0.011860391200423525,0.060832329060236785,2.0400383211382356
neg,powered,CHD1,TF ChIP-seq,7,47,0.14893617021276595,23,476,0.04831932773109244,3.4467391304347825,0.01238731591802789,0.06154947596770107,1.837410481574779
neg,powered,GTF2F1,TF ChIP-seq,5,47,0.10638297872340426,12,476,0.025210084033613446,4.603174603174603,0.012852410705543575,0.061925251581255406,2.2657192791075236
neg,powered,SP4,TF ChIP-seq,9,47,0.19148936170212766,37,476,0.07773109243697479,2.810099573257468,0.014950997945297938,0.06991790215595212,1.5320416373962074
neg,powered,ZBTB43,TF ChIP-seq,10,47,0.2127659574468085,41,476,0.0861344537815126,2.867501647989453,0.01629682273623912,0.07134879434920105,1.5549882095348193
neg,powered,E2F4,TF ChIP-seq,5,47,0.10638297872340426,13,476,0.0273109243697479,4.23992673992674,0.016603178559248043,0.07134879434920105,2.1515787089616576
neg,powered,H3K27me3,Histone ChIP-seq,4,47,0.0851063829787234,113,476,0.23739495798319327,0.2988269191191603,0.016178007950534923,0.07134879434920105,-1.5937554277777364
neg,powered,JUND,TF ChIP-seq,10,47,0.2127659574468085,42,476,0.08823529411764706,2.7927927927927927,0.017193745177912133,0.0719422495602113,1.5173201629595778
neg,powered,ZMAT4,TF ChIP-seq,3,47,0.06382978723404255,4,476,0.008403361344537815,8.045454545454545,0.01844045735922635,0.07518032615684589,3.045867008757329
neg,powered,CTCF,TF ChIP-seq,22,47,0.46808510638297873,141,476,0.296218487394958,2.0907801418439718,0.020257319132540134,0.08052284355184704,1.0649384677264802
