cell,target,assay,effect_sign,background,pos_overlap,pos_total,pos_frac,bg_overlap,bg_total,bg_frac,odds_ratio,log2_OR,p_value,FDR
K562,DDX20,TF ChIP-seq,neg,all,4,18,0.2222222222222222,32,599,0.05342237061769616,5.0625,2.438052775464563,0.016626382927502868,0.2227060239499726
K562,ADNP,TF ChIP-seq,neg,all,5,18,0.2777777777777778,51,599,0.08514190317195326,4.132730015082957,2.117391399693803,0.01760777399753273,0.224058924118604
K562,MBD2,TF ChIP-seq,neg,all,5,18,0.2777777777777778,51,599,0.08514190317195326,4.132730015082957,2.117391399693803,0.01760777399753273,0.224058924118604
K562,ARID2,TF ChIP-seq,neg,all,5,18,0.2777777777777778,52,599,0.08681135225375626,4.045857988165681,2.0870137532962416,0.018944867091195083,0.23519359388825115
K562,TRIP13,TF ChIP-seq,neg,all,2,18,0.1111111111111111,6,599,0.01001669449081803,12.354166666666666,3.7901984770297235,0.020302024439807206,0.24604120094909207
K562,ATF7,TF ChIP-seq,neg,all,9,18,0.5,142,599,0.2370617696160267,3.2183098591549295,1.6828098241193008,0.021344533685323408,0.25265971269371196
K562,CEBPB,TF ChIP-seq,neg,all,7,18,0.3888888888888889,100,599,0.1669449081803005,3.1754545454545453,1.6966178161649954,0.023480648930199563,0.25917949377945904
K562,HLTF,TF ChIP-seq,neg,all,4,18,0.2222222222222222,36,599,0.06010016694490818,4.468253968253968,2.260391247606944,0.0239320947104805,0.25917949377945904
K562,BHLHE40,TF ChIP-seq,neg,all,7,18,0.3888888888888889,100,599,0.1669449081803005,3.1754545454545453,1.6966178161649954,0.023480648930199563,0.25917949377945904
K562,MLLT1,TF ChIP-seq,neg,all,6,18,0.3333333333333333,76,599,0.12687813021702837,3.4407894736842106,1.8312414126045242,0.022706240931399373,0.25917949377945904
K562,HES1,TF ChIP-seq,neg,all,5,18,0.2777777777777778,56,599,0.09348914858096828,3.7293956043956045,1.97050137908595,0.024982600368839723,0.2595131344436616
K562,ETV5,TF ChIP-seq,neg,all,5,18,0.2777777777777778,56,599,0.09348914858096828,3.7293956043956045,1.97050137908595,0.024982600368839723,0.2595131344436616
K562,SMARCA4,TF ChIP-seq,neg,all,9,18,0.5,150,599,0.25041736227045075,2.993333333333333,1.5785576287547451,0.026101452196845364,0.26271746793628714
K562,NR2F2,TF ChIP-seq,neg,all,6,18,0.3333333333333333,79,599,0.1318864774624374,3.2911392405063293,1.7674549263814292,0.02683950556520026,0.26271746793628714
K562,NFRKB,TF ChIP-seq,neg,all,5,18,0.2777777777777778,57,599,0.09515859766277128,3.657219973009447,1.9425333928612953,0.02667114898915439,0.26271746793628714
K562,PHB2,TF ChIP-seq,neg,all,3,18,0.16666666666666666,21,599,0.035058430717863104,5.504761904761905,2.6030670060761207,0.028752625991898612,0.2660924841795708
K562,H3K4me1,Histone ChIP-seq,neg,all,15,18,0.8333333333333334,337,599,0.5626043405676127,3.887240356083086,1.784271308944563,0.027796126095549073,0.2660924841795708
K562,ZNF7,TF ChIP-seq,neg,all,4,18,0.2222222222222222,38,599,0.06343906510851419,4.2180451127819545,2.17829967802044,0.02823115458892924,0.2660924841795708
K562,NR3C1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,8,599,0.01335559265442404,9.234375,3.398305492618358,0.03151379923803685,0.27187328495187724
K562,STAT5A,TF ChIP-seq,neg,all,5,18,0.2777777777777778,59,599,0.09849749582637729,3.5202086049543677,1.8878771609005354,0.03027192963094421,0.27187328495187724
K562,H3K9me1,Histone ChIP-seq,neg,all,2,18,0.1111111111111111,8,599,0.01335559265442404,9.234375,3.398305492618358,0.03151379923803685,0.27187328495187724
K562,ZHX1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,8,599,0.01335559265442404,9.234375,3.398305492618358,0.03151379923803685,0.27187328495187724
K562,MEF2D,TF ChIP-seq,neg,all,5,18,0.2777777777777778,60,599,0.1001669449081803,3.4551282051282053,1.861160028687251,0.03218643663691433,0.2730482708031566
K562,TFAP4,TF ChIP-seq,neg,all,9,18,0.5,158,599,0.2637729549248748,2.7911392405063293,1.4779305975090586,0.03311484008621707,0.27631891153909
K562,KDM1A,TF ChIP-seq,neg,all,6,18,0.3333333333333333,84,599,0.14023372287145242,3.0654761904761907,1.6655327094522916,0.03484351649015892,0.28605403054017564
K562,TAF1,TF ChIP-seq,neg,all,4,18,0.2222222222222222,41,599,0.06844741235392321,3.8885017421602788,2.0623180454511303,0.03552079792757693,0.2869854943672485
K562,ZBTB40,TF ChIP-seq,neg,all,5,18,0.2777777777777778,62,599,0.10350584307178631,3.3312655086848637,1.8088807762885641,0.03624893025017588,0.28829227339593005
K562,SMAD5,TF ChIP-seq,neg,all,4,18,0.2222222222222222,42,599,0.07011686143572621,3.7891156462585034,2.0253810649847055,0.03817937310692473,0.29897386017576444
K562,ARID1B,TF ChIP-seq,neg,all,10,18,0.5555555555555556,188,599,0.31385642737896496,2.7327127659574466,1.4311824886813822,0.03974352331883473,0.30193213984010264
K562,CBFA2T3,TF ChIP-seq,neg,all,10,18,0.5555555555555556,188,599,0.31385642737896496,2.7327127659574466,1.4311824886813822,0.03974352331883473,0.30193213984010264
K562,CEBPG,TF ChIP-seq,neg,all,5,18,0.2777777777777778,64,599,0.10684474123539232,3.215144230769231,1.7580596258008305,0.04062901572238468,0.30210771848184226
K562,TARDBP,TF ChIP-seq,neg,all,4,18,0.2222222222222222,43,599,0.07178631051752922,3.6943521594684388,1.9892383878079714,0.040953698576124,0.30210771848184226
K562,LEF1,TF ChIP-seq,neg,all,6,18,0.3333333333333333,88,599,0.14691151919866444,2.903409090909091,1.5875684080286987,0.042313559260819415,0.3076800237679583
K562,ZNF317,TF ChIP-seq,neg,all,3,18,0.16666666666666666,25,599,0.041736227045075125,4.592,2.3468963523453463,0.04322452200441323,0.309877207045723
K562,NFXL1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,10,599,0.01669449081803005,7.3625,3.0885645557299113,0.04464506372993496,0.31561579775745685
K562,VEZF1,TF ChIP-seq,neg,all,8,18,0.4444444444444444,138,599,0.2303839732888147,2.672463768115942,1.431590090068165,0.04719038292602035,0.32121453770422875
