effect_sign,background,target,assay,pos_overlap,pos_total,pos_frac,bg_overlap,bg_total,bg_frac,odds_ratio,p_value,FDR,log2_OR
neg,powered,ZNF184,TF ChIP-seq,6,18,0.3333333333333333,11,373,0.029490616621983913,16.454545454545453,3.5627483593714874e-05,0.017671231862482577,4.034858757211651
neg,powered,TRIM28,TF ChIP-seq,7,18,0.3888888888888889,23,373,0.06166219839142091,9.683794466403162,0.00013587055975703688,0.022226964123074483,3.2820104218844914
neg,powered,E2F8,TF ChIP-seq,7,18,0.3888888888888889,24,373,0.064343163538874,9.253787878787879,0.0001709040048257562,0.022226964123074483,3.217767440811734
neg,powered,MTA2,TF ChIP-seq,8,18,0.4444444444444444,34,373,0.09115281501340483,7.976470588235294,0.0001792497106699555,0.022226964123074483,2.9938887259381417
neg,powered,SMAD4,TF ChIP-seq,12,18,0.6666666666666666,97,373,0.26005361930294907,5.690721649484536,0.0005126390188577008,0.0423781588922366,2.447221828118729
neg,powered,LARP7,TF ChIP-seq,5,18,0.2777777777777778,12,373,0.032171581769437,11.570512820512821,0.0005062731841531054,0.0423781588922366,3.558539763650222
neg,powered,TRIM24,TF ChIP-seq,9,18,0.5,54,373,0.1447721179624665,5.907407407407407,0.0006277429025516808,0.04448006852366195,2.551487796170068
neg,powered,TRIM25,TF ChIP-seq,4,18,0.2222222222222222,7,373,0.01876675603217158,14.938775510204081,0.0008568512630308144,0.05247148668121317,3.9227227988400335
neg,powered,TCF12,TF ChIP-seq,7,18,0.3888888888888889,33,373,0.08847184986595175,6.556473829201102,0.0009521035889736261,0.05247148668121317,2.7287504371058042
neg,powered,NCOA1,TF ChIP-seq,7,18,0.3888888888888889,34,373,0.09115281501340483,6.3449197860962565,0.0011174885135822378,0.055427430273678996,2.6820719470180685
neg,powered,HDGF,TF ChIP-seq,6,18,0.3333333333333333,29,373,0.0777479892761394,5.931034482758621,0.00282348529102206,0.10003205031049583,2.6023006517088176
neg,powered,ZNF319,TF ChIP-seq,4,18,0.2222222222222222,10,373,0.02680965147453083,10.371428571428572,0.002378468633221838,0.10003205031049583,3.4254381374555742
neg,powered,SMARCA5,TF ChIP-seq,6,18,0.3333333333333333,29,373,0.0777479892761394,5.931034482758621,0.00282348529102206,0.10003205031049583,2.6023006517088176
neg,powered,MTA1,TF ChIP-seq,7,18,0.3888888888888889,40,373,0.10723860589812333,5.297727272727273,0.0026549367548472395,0.10003205031049583,2.425021587851466
neg,powered,TCF3,TF ChIP-seq,10,18,0.5555555555555556,84,373,0.225201072386059,4.300595238095238,0.003223489419909305,0.10659005015166768,2.0813946832354735
neg,powered,RLF,TF ChIP-seq,5,18,0.2777777777777778,23,373,0.06166219839142091,5.852842809364549,0.005836558585281302,0.1378539551571203,2.6032258988068144
