target,assay
MAZ,TF ChIP-seq
TFCP2,TF ChIP-seq
ZSCAN32,TF ChIP-seq
DEAF1,TF ChIP-seq
SMAD1,TF ChIP-seq
CREB3L1,TF ChIP-seq
SAP30,TF ChIP-seq
CREM,TF ChIP-seq
CTCFL,TF ChIP-seq
SMC3,TF ChIP-seq
MEIS2,TF ChIP-seq
ETV6,TF ChIP-seq
ZNF384,TF ChIP-seq
RAD51,TF ChIP-seq
ZNF274,TF ChIP-seq
GTF2F1,TF ChIP-seq
NFYA,TF ChIP-seq
BDP1,TF ChIP-seq
NR2F1,TF ChIP-seq
RBM22,TF ChIP-seq
BRD9,TF ChIP-seq
ESRRA,TF ChIP-seq
MCM2,TF ChIP-seq
ZNF197,TF ChIP-seq
SOX6,TF ChIP-seq
MCM3,TF ChIP-seq
CREB3,TF ChIP-seq
ZNF83,TF ChIP-seq
MITF,TF ChIP-seq
KAT8,TF ChIP-seq
NBN,TF ChIP-seq
EWSR1,TF ChIP-seq
ZKSCAN8,TF ChIP-seq
JUN,TF ChIP-seq
ZFX,TF ChIP-seq
CCNT2,TF ChIP-seq
DPF2,TF ChIP-seq
FUS,TF ChIP-seq
HOMEZ,TF ChIP-seq
BHLHE40,TF ChIP-seq
ASH1L,TF ChIP-seq
ZNF785,TF ChIP-seq
CXXC5,TF ChIP-seq
ZNF324,TF ChIP-seq
ZNF23,TF ChIP-seq
ZNF76,TF ChIP-seq
ZNF397,TF ChIP-seq
ZNF700,TF ChIP-seq
NR4A1,TF ChIP-seq
ZNF354B,TF ChIP-seq
ZNF41,TF ChIP-seq
ZNF655,TF ChIP-seq
SIN3B,TF ChIP-seq
ILK,TF ChIP-seq
NCOA1,TF ChIP-seq
RELA,TF ChIP-seq
MAFG,TF ChIP-seq
PTBP1,TF ChIP-seq
ZNF133,TF ChIP-seq
TEAD2,TF ChIP-seq
ZNF644,TF ChIP-seq
PRPF4,TF ChIP-seq
MBD2,TF ChIP-seq
NONO,TF ChIP-seq
ZNF24,TF ChIP-seq
HES1,TF ChIP-seq
NFRKB,TF ChIP-seq
EHMT2,TF ChIP-seq
ARID2,TF ChIP-seq
ZBTB33,TF ChIP-seq
NCOA4,TF ChIP-seq
POLR2H,TF ChIP-seq
CAMTA2,TF ChIP-seq
ATF7,TF ChIP-seq
SREBF1,TF ChIP-seq
MAFK,TF ChIP-seq
ZNF584,TF ChIP-seq
MLLT1,TF ChIP-seq
NR3C1,TF ChIP-seq
NFIC,TF ChIP-seq
TCF7,TF ChIP-seq
NFE2,TF ChIP-seq
MTA1,TF ChIP-seq
XRCC3,TF ChIP-seq
CSDE1,TF ChIP-seq
ETV5,TF ChIP-seq
MLX,TF ChIP-seq
RHOXF2B,TF ChIP-seq
TCF12,TF ChIP-seq
HDAC3,TF ChIP-seq
THRA,TF ChIP-seq
PCBP2,TF ChIP-seq
EP400,TF ChIP-seq
ZBTB8A,TF ChIP-seq
RBPJ,TF ChIP-seq
SUPT5H,TF ChIP-seq
ZNF507,TF ChIP-seq
RBM14,TF ChIP-seq
ZNF77,TF ChIP-seq
ZNF174,TF ChIP-seq
HNRNPUL1,TF ChIP-seq
SFPQ,TF ChIP-seq
AGO1,TF ChIP-seq
NFIX,TF ChIP-seq
HIVEP1,TF ChIP-seq
ZKSCAN3,TF ChIP-seq
SRSF1,TF ChIP-seq
ZNF717,TF ChIP-seq
DDX20,TF ChIP-seq
ZNF239,TF ChIP-seq
TBX18,TF ChIP-seq
HNRNPL,TF ChIP-seq
HNRNPH1,TF ChIP-seq
ZBTB12,TF ChIP-seq
NFXL1,TF ChIP-seq
YBX3,TF ChIP-seq
C11orf30,TF ChIP-seq
PBX2,TF ChIP-seq
GTF2A2,TF ChIP-seq
ZNF146,TF ChIP-seq
IRF2,TF ChIP-seq
GATAD2B,TF ChIP-seq
SRF,TF ChIP-seq
ZNF592,TF ChIP-seq
DACH1,TF ChIP-seq
THAP7,TF ChIP-seq
ZNF764,TF ChIP-seq
ZNF311,TF ChIP-seq
HOXB6,TF ChIP-seq
ZNF551,TF ChIP-seq
TCF3,TF ChIP-seq
ZNF184,TF ChIP-seq
FOSL1,TF ChIP-seq
ZNF766,TF ChIP-seq
KLF13,TF ChIP-seq
HCFC1,TF ChIP-seq
CUX1,TF ChIP-seq
ZNF280A,TF ChIP-seq
KLF1,TF ChIP-seq
CEBPB,TF ChIP-seq
ZNF780A,TF ChIP-seq
NR1H2,TF ChIP-seq
GATAD2A,TF ChIP-seq
KHSRP,TF ChIP-seq
HINFP,TF ChIP-seq
ZBTB7A,TF ChIP-seq
CBFB,TF ChIP-seq
EGR1,TF ChIP-seq
PHF20,TF ChIP-seq
FOXJ3,TF ChIP-seq
RREB1,TF ChIP-seq
TAF15,TF ChIP-seq
ZFP91,TF ChIP-seq
PRDM10,TF ChIP-seq
PCBP1,TF ChIP-seq
RBFOX2,TF ChIP-seq
SAFB,TF ChIP-seq
ARNT,TF ChIP-seq
MIER1,TF ChIP-seq
ZNF7,TF ChIP-seq
RFX7,TF ChIP-seq
HEY1,TF ChIP-seq
TRIM24,TF ChIP-seq
LARP7,TF ChIP-seq
RLF,TF ChIP-seq
