experiment,lab,n_audit_error,n_audit_notcompliant,n_audit_warning
ENCSR250WFW,"Michael Snyder, Stanford",0,0,0
ENCSR189VXS,"Michael Snyder, Stanford",0,2,0
ENCSR216OGD,"Bradley Bernstein, Broad",0,6,5
ENCSR188GJE,"Bing Ren, UCSD",0,2,7
ENCSR223MLH,"Michael Snyder, Stanford",0,0,4
ENCSR189YMA,"Kevin White, UChicago",0,0,2
ENCSR241LIH,"Michael Snyder, Stanford",0,2,5
ENCSR264LYE,"Michael Snyder, Stanford",0,0,7
ENCSR281VWZ,"Michael Snyder, Stanford",0,0,4
ENCSR271RRH,"Michael Snyder, Stanford",0,0,2
ENCSR231PDA,"Michael Snyder, Stanford",0,0,0
ENCSR228OQM,"Michael Snyder, Stanford",0,0,7
ENCSR261EBV,"Richard Myers, HAIB",0,0,6
ENCSR213HBY,"Michael Snyder, Stanford",0,0,9
ENCSR178NTX,"Kevin White, UChicago",0,0,2
ENCSR257RKC,"Richard Myers, HAIB",0,0,5
ENCSR277DMR,"Michael Snyder, Stanford",0,0,7
ENCSR276RQG,"Michael Snyder, Stanford",0,0,6
ENCSR213VUI,"Michael Snyder, Stanford",0,0,1
ENCSR288NNJ,"Michael Snyder, Stanford",0,0,5
ENCSR358PJI,"Michael Snyder, Stanford",0,0,8
ENCSR349FYX,"Richard Myers, HAIB",0,0,3
ENCSR350LBJ,"Richard Myers, HAIB",0,0,6
ENCSR373KKV,"Richard Myers, HAIB",0,0,7
ENCSR350GZC,"Michael Snyder, Stanford",0,0,6
ENCSR392JVX,"Richard Myers, HAIB",0,0,1
ENCSR335SUD,"Michael Snyder, Stanford",0,0,4
ENCSR322CFO,"Michael Snyder, Stanford",0,0,0
ENCSR298JCG,"Michael Snyder, Stanford",0,0,1
ENCSR360HRA,"Michael Snyder, Stanford",0,0,4
ENCSR343ELW,"Michael Snyder, Stanford",0,0,4
ENCSR387UWP,"Michael Snyder, Stanford",0,0,5
ENCSR302AWT,"Michael Snyder, Stanford",0,0,1
ENCSR395HWC,"Michael Snyder, Stanford",0,0,5
ENCSR325RLL,"Michael Snyder, Stanford",0,2,1
ENCSR336DXE,"Michael Snyder, Stanford",0,0,2
ENCSR349TZO,"Michael Snyder, Stanford",0,2,5
ENCSR331GDC,"Richard Myers, HAIB",0,0,6
ENCSR343IFJ,"Michael Snyder, Stanford",0,0,4
ENCSR322MEI,"Bing Ren, UCSD",0,1,10
ENCSR338UQU,"Richard Myers, HAIB",0,0,5
ENCSR360ECJ,"Richard Myers, HAIB",0,0,4
ENCSR286PCG,"Richard Myers, HAIB",0,0,0
ENCSR352RXE,"Richard Myers, HAIB",0,0,5
ENCSR372IML,"Richard Myers, HAIB",0,0,5
ENCSR284SMX,"Richard Myers, HAIB",0,0,5
ENCSR381IES,"Richard Myers, HAIB",0,0,1
ENCSR285HHZ,"Richard Myers, HAIB",0,0,3
ENCSR361UTL,"Richard Myers, HAIB",0,0,2
ENCSR377HQG,"Michael Snyder, Stanford",0,0,7
ENCSR307YJU,"Michael Snyder, Stanford",0,0,5
ENCSR333LVY,"Bing Ren, UCSD",0,2,4
ENCSR368GJN,"Richard Myers, HAIB",0,0,6
ENCSR364BKW,"Bing Ren, UCSD",0,0,3
ENCSR352BJL,"Michael Snyder, Stanford",0,0,4
ENCSR303SHG,"Michael Snyder, Stanford",0,1,6
ENCSR377BLZ,"Xiang-Dong Fu, UCSD",0,5,7
ENCSR353HEP,"Richard Myers, HAIB",0,0,1
ENCSR395USV,"Joseph Costello, UCSF",0,2,13
ENCSR294WUR,"Bing Ren, UCSD",0,3,7
ENCSR382AIB,"Michael Snyder, Stanford",0,0,10
ENCSR389PWB,"Michael Snyder, Stanford",0,2,1
ENCSR324UNL,"Bing Ren, UCSD",0,7,2
ENCSR367JIO,"Bing Ren, UCSD",0,4,6
ENCSR301HRV,"Bing Ren, UCSD",0,6,4
ENCSR385AHH,"Michael Snyder, Stanford",0,0,0
ENCSR400FSM,"Michael Snyder, Stanford",0,0,13
ENCSR336GFK,"Michael Snyder, Stanford",0,0,0
ENCSR386WCR,"Bing Ren, UCSD",0,2,11
ENCSR283ZNI,"Michael Snyder, Stanford",0,2,5
ENCSR325DER,"Michael Snyder, Stanford",0,2,6
ENCSR296MXW,"Xiang-Dong Fu, UCSD",0,0,2
ENCSR385IUC,"Michael Snyder, Stanford",0,0,6
ENCSR402XII,"Michael Snyder, Stanford",0,0,4
ENCSR350XWY,"Michael Snyder, Stanford",0,0,3
ENCSR376WCJ,"Michael Snyder, Stanford",0,0,2
ENCSR388ZRV,"Michael Snyder, Stanford",0,0,6
ENCSR370NFS,"Michael Snyder, Stanford",0,2,4
ENCSR387SYS,"Richard Myers, HAIB",0,0,3
ENCSR390VGH,"Michael Snyder, Stanford",0,0,6
ENCSR405KTQ,"Michael Snyder, Stanford",0,0,8
ENCSR288MOZ,"Michael Snyder, Stanford",0,0,0
ENCSR290MUH,"Kevin White, UChicago",0,0,3
ENCSR359NFW,"Kevin White, UChicago",0,0,4
ENCSR315NNL,"Michael Snyder, Stanford",0,0,1
ENCSR326NQF,"Bing Ren, UCSD",0,0,3
ENCSR376XAV,"Michael Snyder, Stanford",0,0,4
ENCSR387BVC,"Michael Snyder, Stanford",0,0,2
ENCSR283ZRI,"Xiang-Dong Fu, UCSD",0,0,12
ENCSR376UMR,"Michael Snyder, Stanford",0,0,0
ENCSR297CGF,"Michael Snyder, Stanford",0,0,8
ENCSR376RCX,"Michael Snyder, Stanford",0,0,4
ENCSR314BBS,"Michael Snyder, Stanford",0,0,5
ENCSR388QZF,"Michael Snyder, Stanford",0,0,0
ENCSR331BDJ,"Michael Snyder, Stanford",0,0,1
ENCSR334HSW,"Michael Snyder, Stanford",0,0,7
ENCSR360UHC,"Michael Snyder, Stanford",0,0,2
ENCSR364SNE,"Michael Snyder, Stanford",0,2,7
ENCSR373ZOY,"Richard Myers, HAIB",0,0,6
ENCSR444BFV,"Michael Snyder, Stanford",0,0,5
ENCSR415NNQ,"Michael Snyder, Stanford",0,0,5
ENCSR499FDW,"Michael Snyder, Stanford",0,0,6
ENCSR413CVQ,"Michael Snyder, Stanford",0,0,6
ENCSR440UPD,"Michael Snyder, Stanford",0,0,4
ENCSR409PXW,"Richard Myers, HAIB",0,0,5
ENCSR494TDU,"Michael Snyder, Stanford",0,0,2
ENCSR506SSQ,"Michael Snyder, Stanford",0,0,7
ENCSR471WXT,"Richard Myers, HAIB",0,0,6
ENCSR473ASI,"Richard Myers, HAIB",0,0,11
ENCSR513WUJ,"Richard Myers, HAIB",0,0,1
ENCSR414TYY,"Michael Snyder, Stanford",0,0,6
ENCSR479QAJ,"Xiang-Dong Fu, UCSD",0,0,6
ENCSR516SWI,"Richard Myers, HAIB",0,0,5
ENCSR476KTK,"Bing Ren, UCSD",0,6,9
ENCSR440VKE,"Kevin White, UChicago",0,0,2
ENCSR418RRF,"Bradley Bernstein, Broad",0,0,6
ENCSR462QZZ,"Kevin White, UChicago",0,0,2
ENCSR423FCW,"Xiang-Dong Fu, UCSD",0,1,10
ENCSR446LAV,"Michael Snyder, Stanford",0,0,7
ENCSR440BZV,"Bing Ren, UCSD",0,1,5
ENCSR492FKD,"Michael Snyder, Stanford",0,0,21
ENCSR508DQA,"Michael Snyder, Stanford",0,0,4
ENCSR459FUE,"Michael Snyder, Stanford",0,0,9
ENCSR507RVF,"Richard Myers, HAIB",0,0,3
ENCSR427XYP,"Richard Myers, HAIB",0,0,3
ENCSR454GVT,"Richard Myers, HAIB",0,0,5
ENCSR436CZV,"Richard Myers, HAIB",0,0,5
ENCSR530WIV,"Richard Myers, HAIB",0,0,5
ENCSR498JCG,"Richard Myers, HAIB",0,0,3
ENCSR422ODX,"Michael Snyder, Stanford",0,0,7
ENCSR427WZJ,"Richard Myers, HAIB",0,0,3
ENCSR524BUE,"Michael Snyder, Stanford",0,0,6
ENCSR493JTJ,"Richard Myers, HAIB",0,0,6
ENCSR526HRN,"Richard Myers, HAIB",0,0,1
ENCSR419CNA,"Richard Myers, HAIB",0,0,2
ENCSR415TXN,"Xiang-Dong Fu, UCSD",0,0,10
ENCSR525VAT,"Michael Snyder, Stanford",0,0,2
ENCSR486IFJ,"Michael Snyder, Stanford",0,0,5
ENCSR416QLJ,"Michael Snyder, Stanford",0,0,2
ENCSR410DWC,"Michael Snyder, Stanford",0,0,7
ENCSR412CTM,"Michael Snyder, Stanford",0,0,5
ENCSR494UQJ,"Michael Snyder, Stanford",0,2,1
ENCSR516KSY,"Bradley Bernstein, Broad",0,1,11
ENCSR431XGJ,"Michael Snyder, Stanford",0,2,1
ENCSR506KWJ,"Xiang-Dong Fu, UCSD",0,0,8
ENCSR439OCL,"Michael Snyder, Stanford",0,2,3
ENCSR496DCY,"Joseph Costello, UCSF",0,2,9
ENCSR490LWA,"Michael Snyder, Stanford",0,0,2
ENCSR519WMW,"Michael Snyder, Stanford",0,0,9
ENCSR438RRM,"Richard Myers, HAIB",0,0,7
ENCSR475ZYA,"Michael Snyder, Stanford",0,0,4
ENCSR426MDV,"Michael Snyder, Stanford",0,0,5
ENCSR441UHO,"Bing Ren, UCSD",0,0,8
ENCSR429QPP,"Michael Snyder, Stanford",0,0,8
ENCSR411UYA,"Michael Snyder, Stanford",0,0,0
ENCSR530XQI,"Michael Snyder, Stanford",0,0,6
ENCSR429XTR,"Xiang-Dong Fu, UCSD",0,0,8
ENCSR492LTS,"Michael Snyder, Stanford",0,0,4
ENCSR454SCH,"Richard Myers, HAIB",0,0,5
ENCSR443YAS,"Bing Ren, UCSD",1,0,15
ENCSR502OEK,"Michael Snyder, Stanford",0,0,3
ENCSR448UKK,"Kevin White, UChicago",0,0,2
ENCSR474CVP,"Michael Snyder, Stanford",0,0,0
ENCSR491EBY,"Michael Snyder, Stanford",0,0,3
ENCSR512NLO,"Michael Snyder, Stanford",0,0,5
ENCSR468DVP,"Michael Snyder, Stanford",0,0,6
ENCSR426URK,"Michael Snyder, Stanford",0,2,4
ENCSR451UQX,"Michael Snyder, Stanford",0,0,5
ENCSR504HOI,"Michael Snyder, Stanford",0,0,2
ENCSR494ZGC,"Michael Snyder, Stanford",0,0,1
ENCSR442DGE,"Bing Ren, UCSD",0,0,6
ENCSR532EMP,"Michael Snyder, Stanford",0,0,4
ENCSR475ZGL,"Richard Myers, HAIB",0,0,6
ENCSR508EEX,"Michael Snyder, Stanford",0,0,8
ENCSR462XRE,"Bing Ren, UCSD",0,0,2
ENCSR497VFH,"Michael Snyder, Stanford",0,2,2
ENCSR494PWZ,"Michael Snyder, Stanford",0,0,1
ENCSR444MSK,"Michael Snyder, Stanford",0,0,2
ENCSR426PTT,"Michael Snyder, Stanford",0,0,6
ENCSR623TZE,"Richard Myers, HAIB",0,0,5
ENCSR547WSB,"Michael Snyder, Stanford",0,0,5
ENCSR609ZLF,"Richard Myers, HAIB",0,0,5
ENCSR617POJ,"Michael Snyder, Stanford",0,0,8
ENCSR568LRK,"Michael Snyder, Stanford",0,0,6
ENCSR578KEN,"Richard Myers, HAIB",0,0,1
ENCSR591ASD,"Michael Snyder, Stanford",0,0,4
ENCSR546PDE,"Richard Myers, HAIB",0,0,9
ENCSR563YDA,"Michael Snyder, Stanford",0,0,0
ENCSR536CBU,"Michael Snyder, Stanford",0,0,5
ENCSR590FLL,"Michael Snyder, Stanford",0,0,7
ENCSR563LLO,"Michael Snyder, Stanford",0,0,6
ENCSR618GDK,"Michael Snyder, Stanford",0,0,5
ENCSR621ATC,"Michael Snyder, Stanford",0,2,1
ENCSR571IIS,"Bing Ren, UCSD",0,3,2
ENCSR583ACG,"Bradley Bernstein, Broad",0,0,3
ENCSR583CGO,"Richard Myers, HAIB",0,0,1
ENCSR568ZXG,"Richard Myers, HAIB",0,0,6
ENCSR579RFH,"Richard Myers, HAIB",0,0,6
ENCSR561YGS,"Richard Myers, HAIB",0,0,5
ENCSR592ZQB,"Richard Myers, HAIB",0,0,3
ENCSR567NTZ,"Michael Snyder, Stanford",0,0,7
ENCSR564TIP,"Richard Myers, HAIB",0,0,6
ENCSR620MHD,"Michael Snyder, Stanford",0,0,6
ENCSR626HJW,"Richard Myers, HAIB",0,0,6
ENCSR579XWM,"Michael Snyder, Stanford",0,0,6
ENCSR628DJK,"Richard Myers, HAIB",0,0,6
ENCSR576AMK,"Michael Snyder, Stanford",0,0,8
ENCSR567QAD,"Michael Snyder, Stanford",0,0,6
ENCSR588AKU,"Richard Myers, HAIB",0,0,3
ENCSR579YNY,"Richard Myers, HAIB",0,0,10
ENCSR631RJR,"Bradley Bernstein, Broad",0,6,3
ENCSR554TZE,"Bing Ren, UCSD",0,4,7
ENCSR580IAO,"Kevin White, UChicago",0,0,4
ENCSR628APV,"Michael Snyder, Stanford",0,2,0
ENCSR577KQD,"Michael Snyder, Stanford",0,0,7
ENCSR620VIC,"Kevin White, UChicago",0,0,2
ENCSR568YNC,"Michael Snyder, Stanford",0,0,0
ENCSR633EIC,"Richard Myers, HAIB",0,0,1
ENCSR619UPN,"Michael Snyder, Stanford",0,0,4
ENCSR632DCH,"Michael Snyder, Stanford",0,0,9
ENCSR552YGL,"Michael Snyder, Stanford",0,0,4
ENCSR626QJQ,"Michael Snyder, Stanford",0,0,0
ENCSR551KXD,"Michael Snyder, Stanford",0,0,0
ENCSR603REQ,"Xiang-Dong Fu, UCSD",0,2,9
ENCSR598TIR,"Michael Snyder, Stanford",0,0,2
ENCSR574VJG,"Michael Snyder, Stanford",0,0,7
ENCSR606KTL,"Michael Snyder, Stanford",0,0,4
ENCSR594BNR,"Xiang-Dong Fu, UCSD",0,0,6
ENCSR581CVA,"Xiang-Dong Fu, UCSD",0,0,9
ENCSR567JEU,"Michael Snyder, Stanford",0,0,0
ENCSR547LKC,"Michael Snyder, Stanford",0,0,5
ENCSR546IHU,"Michael Snyder, Stanford",0,0,0
ENCSR608HVP,"Michael Snyder, Stanford",0,0,9
ENCSR550HCT,"Michael Snyder, Stanford",0,0,2
ENCSR619GFP,"Michael Snyder, Stanford",0,0,10
ENCSR594SMP,"Michael Snyder, Stanford",0,2,0
ENCSR582IAO,"Richard Myers, HAIB",0,0,1
ENCSR613NUC,"Michael Snyder, Stanford",0,0,0
ENCSR591CCL,"Michael Snyder, Stanford",0,0,2
ENCSR625ZVM,"Richard Myers, HAIB",0,0,1
ENCSR608XTF,"Michael Snyder, Stanford",0,0,6
ENCSR597CHL,"Michael Snyder, Stanford",0,0,5
ENCSR632SHZ,"Michael Snyder, Stanford",0,0,9
ENCSR598GER,"Xiang-Dong Fu, UCSD",0,0,6
ENCSR574XEO,"Michael Snyder, Stanford",0,2,0
ENCSR594HXD,"Michael Snyder, Stanford",0,0,4
ENCSR582EIB,"Michael Snyder, Stanford",0,0,2
ENCSR568PGX,"Michael Snyder, Stanford",0,0,7
ENCSR549PVK,"Michael Snyder, Stanford",0,0,6
ENCSR553NTC,"Michael Snyder, Stanford",0,0,0
ENCSR571BUF,"Michael Snyder, Stanford",0,2,0
ENCSR557RVF,"Michael Snyder, Stanford",0,0,2
ENCSR587OQL,"Michael Snyder, Stanford",0,0,0
ENCSR552PSV,"Michael Snyder, Stanford",0,2,0
ENCSR542WJU,"Michael Snyder, Stanford",0,0,0
ENCSR532KTI,"Kevin White, UChicago",0,0,2
ENCSR632TJQ,"Michael Snyder, Stanford",0,0,7
ENCSR603XLW,"Kevin White, UChicago",0,0,3
ENCSR596IKD,"Michael Snyder, Stanford",0,2,7
ENCSR659CCI,"Richard Myers, HAIB",0,0,6
ENCSR696URR,"Richard Myers, HAIB",0,0,3
ENCSR663NFC,"Michael Snyder, Stanford",0,0,5
ENCSR645ZWR,"Richard Myers, HAIB",0,0,5
ENCSR675LRO,"Michael Snyder, Stanford",0,0,0
ENCSR647ZXA,"Michael Snyder, Stanford",0,0,4
ENCSR707QWA,"Richard Myers, HAIB",0,0,4
ENCSR720HUL,"Michael Snyder, Stanford",0,4,7
ENCSR734NCK,"Bing Ren, UCSD",0,0,6
ENCSR741FIA,"Bing Ren, UCSD",0,3,4
ENCSR654CQU,"Michael Snyder, Stanford",0,0,5
ENCSR690GUG,"Xiang-Dong Fu, UCSD",0,0,9
ENCSR740NPG,"Kevin White, UChicago",0,0,2
ENCSR634WRC,"Richard Myers, HAIB",0,0,2
ENCSR663WAR,"Bradley Bernstein, Broad",0,0,6
ENCSR722OTA,"Richard Myers, HAIB",0,0,6
ENCSR713KVZ,"Richard Myers, HAIB",0,0,6
ENCSR640STN,"Richard Myers, HAIB",0,0,6
ENCSR652OGX,"Richard Myers, HAIB",0,0,5
ENCSR659YWQ,"Michael Snyder, Stanford",0,0,6
ENCSR672OHP,"Richard Myers, HAIB",0,0,5
ENCSR716ZJH,"Bradley Bernstein, Broad",0,0,11
ENCSR729NVN,"Bing Ren, UCSD",0,4,0
ENCSR717QWW,"Michael Snyder, Stanford",0,0,4
ENCSR676KDJ,"Michael Snyder, Stanford",0,0,7
ENCSR731LHZ,"Michael Snyder, Stanford",0,2,6
ENCSR724GSW,"Xiang-Dong Fu, UCSD",0,2,7
ENCSR643JRH,"Michael Snyder, Stanford",0,0,4
ENCSR675FLJ,"Bing Ren, UCSD",0,3,5
ENCSR730POX,"Bing Ren, UCSD",0,2,4
ENCSR728SZE,"Bing Ren, UCSD",0,6,4
ENCSR703KXH,"Bing Ren, UCSD",0,0,3
ENCSR739BZR,"Bing Ren, UCSD",0,0,2
ENCSR738BJJ,"Bing Ren, UCSD",0,3,5
ENCSR715CCR,"Michael Snyder, Stanford",0,0,0
ENCSR712KVZ,"Michael Snyder, Stanford",0,0,2
ENCSR692RET,"Michael Snyder, Stanford",0,0,4
ENCSR737UST,"Kevin White, UChicago",0,0,2
ENCSR657JLK,"Michael Snyder, Stanford",0,0,8
ENCSR648INT,"Michael Snyder, Stanford",0,0,9
ENCSR706BJO,"Kevin White, UChicago",0,0,2
ENCSR635GTR,"Michael Snyder, Stanford",0,0,6
ENCSR729HVR,"Kevin White, UChicago",0,0,3
ENCSR657EOF,"Michael Snyder, Stanford",0,0,2
ENCSR695EQB,"Michael Snyder, Stanford",0,0,2
ENCSR638QHV,"Michael Snyder, Stanford",0,0,9
ENCSR737LTZ,"Richard Myers, HAIB",0,0,2
ENCSR674SCQ,"Michael Snyder, Stanford",0,0,6
ENCSR740XMB,"Michael Snyder, Stanford",0,0,4
ENCSR642VZY,"Richard Myers, HAIB",0,0,5
ENCSR647PJW,"Xiang-Dong Fu, UCSD",0,0,9
ENCSR641BSL,"Xiang-Dong Fu, UCSD",0,0,10
ENCSR711SNW,"Michael Snyder, Stanford",0,2,8
ENCSR643VTW,"Michael Snyder, Stanford",0,0,3
ENCSR713IFY,"Richard Myers, HAIB",0,1,1
ENCSR711VWL,"Michael Snyder, Stanford",0,0,0
ENCSR686EYO,"Michael Snyder, Stanford",0,0,0
ENCSR669NFS,"Michael Snyder, Stanford",0,2,4
ENCSR718SDE,"Michael Snyder, Stanford",0,2,1
ENCSR660RNO,"Michael Snyder, Stanford",0,0,3
ENCSR653WFU,"Michael Snyder, Stanford",0,0,0
ENCSR671GFC,"Michael Snyder, Stanford",0,0,2
ENCSR670FDA,"Michael Snyder, Stanford",0,0,4
ENCSR700LFA,"Richard Myers, HAIB",0,0,5
ENCSR674WPB,"Michael Snyder, Stanford",0,0,6
ENCSR664AOA,"Michael Snyder, Stanford",0,2,5
ENCSR682AAS,"Michael Snyder, Stanford",0,0,5
ENCSR650AWW,"Michael Snyder, Stanford",0,0,0
ENCSR670JDQ,"Michael Snyder, Stanford",0,0,3
ENCSR697YLJ,"Michael Snyder, Stanford",0,0,0
ENCSR699RWG,"Michael Snyder, Stanford",0,0,6
ENCSR668LDD,"Bradley Bernstein, Broad",0,0,9
ENCSR699PVC,"Michael Snyder, Stanford",0,0,2
ENCSR742DAU,"Michael Snyder, Stanford",0,0,5
ENCSR687FDK,"Joseph Costello, UCSF",1,2,2
ENCSR658WFQ,"Michael Snyder, Stanford",0,2,5
ENCSR635EXI,"Michael Snyder, Stanford",0,0,0
ENCSR709DRM,"Kevin White, UChicago",0,0,2
ENCSR710WLO,"Michael Snyder, Stanford",0,0,5
ENCSR742IDN,"Michael Snyder, Stanford",0,0,4
ENCSR807VQT,"Michael Snyder, Stanford",0,0,4
ENCSR836SPL,"Richard Myers, HAIB",0,0,5
ENCSR744GHR,"Richard Myers, HAIB",0,0,5
ENCSR803FIV,"Michael Snyder, Stanford",0,0,7
ENCSR844JVU,"Michael Snyder, Stanford",0,0,20
ENCSR805SIA,"Richard Myers, HAIB",0,0,6
ENCSR755CRA,"Richard Myers, HAIB",0,0,7
ENCSR760GZL,"Richard Myers, HAIB",0,0,5
ENCSR775NLJ,"Michael Snyder, Stanford",0,0,4
ENCSR783EPA,"Michael Snyder, Stanford",0,0,7
ENCSR800KMQ,"Richard Myers, HAIB",0,0,5
ENCSR744CXJ,"Richard Myers, HAIB",0,0,2
ENCSR841GLE,"Richard Myers, HAIB",0,0,5
ENCSR837EYC,"Richard Myers, HAIB",0,0,5
ENCSR798ILC,"Michael Snyder, Stanford",0,0,2
ENCSR757IIU,"Richard Myers, HAIB",0,0,0
ENCSR742TMU,"Michael Snyder, Stanford",0,2,6
ENCSR808AKZ,"Michael Snyder, Stanford",0,0,0
ENCSR819LHG,"Michael Snyder, Stanford",0,0,5
ENCSR760UVO,"Richard Myers, HAIB",0,0,2
ENCSR803EKW,"Michael Snyder, Stanford",0,2,2
ENCSR780BBJ,"Michael Snyder, Stanford",0,0,5
ENCSR788DXU,"Richard Myers, HAIB",0,0,5
ENCSR784IMK,"Richard Myers, HAIB",0,0,7
ENCSR744WOO,"Michael Snyder, Stanford",0,0,2
ENCSR814KIO,"Bradley Bernstein, Broad",0,0,6
ENCSR795KRU,"Richard Myers, HAIB",0,0,8
ENCSR776CYN,"Michael Snyder, Stanford",0,2,3
ENCSR782WRO,"Michael Snyder, Stanford",0,0,2
ENCSR799URB,"Richard Myers, HAIB",0,0,1
ENCSR744RAS,"Michael Snyder, Stanford",0,2,5
ENCSR787CHF,"Richard Myers, HAIB",0,0,6
ENCSR817FMN,"Richard Myers, HAIB",0,0,6
ENCSR814AJH,"Xiang-Dong Fu, UCSD",0,0,5
ENCSR795IYP,"Richard Myers, HAIB",0,0,4
ENCSR804OBA,"Richard Myers, HAIB",0,0,5
ENCSR763FNU,"Michael Snyder, Stanford",0,0,4
ENCSR813CTI,"Joseph Costello, UCSF",1,0,1
ENCSR768FWX,"Bing Ren, UCSD",0,3,9
ENCSR836COE,"Xiang-Dong Fu, UCSD",0,0,9
ENCSR788RSW,"Michael Snyder, Stanford",0,0,4
ENCSR797SWM,"Michael Snyder, Stanford",0,2,5
ENCSR801JWB,"Michael Snyder, Stanford",0,0,6
ENCSR772EEN,"Michael Snyder, Stanford",0,0,5
ENCSR818DQV,"Michael Snyder, Stanford",0,0,2
ENCSR758PLU,"Michael Snyder, Stanford",0,0,6
ENCSR792GCH,"Bing Ren, UCSD",0,2,7
ENCSR820GND,"Michael Snyder, Stanford",0,0,2
ENCSR815ZDS,"Michael Snyder, Stanford",0,0,7
ENCSR796ITY,"Michael Snyder, Stanford",0,0,5
ENCSR807BGP,"Michael Snyder, Stanford",0,0,1
ENCSR817QKV,"Michael Snyder, Stanford",0,0,7
ENCSR832DMO,"Xiang-Dong Fu, UCSD",0,0,9
ENCSR801RPW,"Michael Snyder, Stanford",0,0,4
ENCSR829UCH,"Michael Snyder, Stanford",0,0,4
ENCSR798MFW,"Richard Myers, HAIB",0,0,5
ENCSR822LBD,"Xiang-Dong Fu, UCSD",0,0,10
ENCSR792IYC,"Michael Snyder, Stanford",0,2,2
ENCSR754VAJ,"Bradley Bernstein, Broad",0,4,13
ENCSR815LBP,"Bing Ren, UCSD",0,6,4
ENCSR771SNW,"Bradley Bernstein, Broad",0,0,5
ENCSR764YDL,"Michael Snyder, Stanford",0,2,6
ENCSR753PPY,"Richard Myers, HAIB",0,0,8
ENCSR814XPE,"Bradley Bernstein, Broad",0,0,7
ENCSR764OXF,"Xiang-Dong Fu, UCSD",0,0,4
ENCSR744JJU,"Michael Snyder, Stanford",0,0,8
ENCSR775FSH,"Michael Snyder, Stanford",0,0,4
ENCSR832OGB,"Michael Snyder, Stanford",0,0,5
ENCSR822CCM,"Michael Snyder, Stanford",0,0,5
ENCSR802AHH,"Michael Snyder, Stanford",0,0,0
ENCSR787RVK,"Michael Snyder, Stanford",0,0,7
ENCSR762LIP,"Michael Snyder, Stanford",0,0,4
ENCSR784VUY,"Bradley Bernstein, Broad",2,2,8
ENCSR809JSD,"Richard Myers, HAIB",0,0,6
ENCSR791OZM,"Xiang-Dong Fu, UCSD",0,4,8
ENCSR750LYM,"Kevin White, UChicago",0,0,2
ENCSR835TCD,"Michael Snyder, Stanford",0,0,8
ENCSR786OQY,"Michael Snyder, Stanford",0,0,2
ENCSR754ZHU,"Xiang-Dong Fu, UCSD",0,0,4
ENCSR775EQV,"Michael Snyder, Stanford",0,0,0
ENCSR942XQI,"Michael Snyder, Stanford",0,0,4
ENCSR905MSY,"Richard Myers, HAIB",0,0,6
ENCSR948JND,"Michael Snyder, Stanford",0,0,8
ENCSR849LXI,"Michael Snyder, Stanford",0,0,9
ENCSR924JOW,"Richard Myers, HAIB",0,0,6
ENCSR907JPB,"Michael Snyder, Stanford",0,0,8
ENCSR934WOF,"Richard Myers, HAIB",0,0,5
ENCSR943MQH,"Richard Myers, HAIB",0,1,6
ENCSR928BPP,"Richard Myers, HAIB",0,0,3
ENCSR858BOF,"Bing Ren, UCSD",0,3,3
ENCSR851BNE,"Michael Snyder, Stanford",0,2,2
ENCSR848DUN,"Bing Ren, UCSD",0,0,7
ENCSR863KUB,"Richard Myers, HAIB",0,0,3
ENCSR879KXD,"Michael Snyder, Stanford",0,0,5
ENCSR940PYZ,"Richard Myers, HAIB",0,0,6
ENCSR910UQX,"Richard Myers, HAIB",0,0,7
ENCSR887VJM,"Richard Myers, HAIB",0,0,6
ENCSR866VOW,"Richard Myers, HAIB",0,0,6
ENCSR939CDD,"Richard Myers, HAIB",0,0,5
ENCSR845GGY,"Richard Myers, HAIB",0,0,6
ENCSR901VIE,"Richard Myers, HAIB",0,0,5
ENCSR922YDT,"Michael Snyder, Stanford",0,0,6
ENCSR918EFA,"Michael Snyder, Stanford",0,0,6
ENCSR870YEN,"Michael Snyder, Stanford",0,0,6
ENCSR946WBN,"Richard Myers, HAIB",0,0,6
ENCSR882ERE,"Michael Snyder, Stanford",0,0,4
ENCSR920BLG,"Michael Snyder, Stanford",0,0,7
ENCSR888XZK,"Michael Snyder, Stanford",0,0,7
ENCSR891KGZ,"Bing Ren, UCSD",1,1,10
ENCSR928HYM,"Bing Ren, UCSD",0,6,7
ENCSR880SUY,"Bing Ren, UCSD",0,2,11
ENCSR846DXV,"Bing Ren, UCSD",0,2,6
ENCSR848AOP,"Xiang-Dong Fu, UCSD",0,6,6
ENCSR894CGX,"Michael Snyder, Stanford",0,0,0
ENCSR876GXA,"Michael Snyder, Stanford",0,0,1
ENCSR948QLZ,"Richard Myers, HAIB",0,0,5
ENCSR879TAS,"Bing Ren, UCSD",1,1,4
ENCSR924GXX,"Michael Snyder, Stanford",0,0,1
ENCSR931HNY,"Michael Snyder, Stanford",0,0,2
ENCSR844MAB,"Michael Snyder, Stanford",0,0,0
ENCSR935UQL,"Michael Snyder, Stanford",0,0,2
ENCSR867MET,"Michael Snyder, Stanford",0,0,5
ENCSR876RGF,"Bing Ren, UCSD",0,2,6
ENCSR907MZR,"Michael Snyder, Stanford",0,0,0
ENCSR870IUC,"Bradley Bernstein, Broad",0,2,15
ENCSR947PJZ,"Michael Snyder, Stanford",0,0,4
ENCSR908CMW,"Michael Snyder, Stanford",0,0,4
