experiment,lab,n_audit_error,n_audit_notcompliant,n_audit_warning
ENCSR000DOB,"Kevin Struhl, HMS",1,1,7
ENCSR000BQY,"Richard Myers, HAIB",0,0,3
ENCSR000BRS,"Richard Myers, HAIB",0,0,7
ENCSR000BKV,"Richard Myers, HAIB",0,2,7
ENCSR000BRT,"Richard Myers, HAIB",0,0,4
ENCSR000DOI,"Kevin Struhl, HMS",1,3,3
ENCSR000BMH,"Richard Myers, HAIB",0,2,10
ENCSR000BNN,"Richard Myers, HAIB",0,4,9
ENCSR000BRR,"Richard Myers, HAIB",0,0,4
ENCSR000BRQ,"Richard Myers, HAIB",0,1,4
ENCSR000DOC,"Kevin Struhl, HMS",0,6,6
ENCSR000BSI,"Richard Myers, HAIB",0,0,1
ENCSR000BLO,"Richard Myers, HAIB",0,8,6
ENCSR000BLP,"Richard Myers, HAIB",0,0,8
ENCSR000BRW,"Richard Myers, HAIB",0,1,9
ENCSR000BNV,"Richard Myers, HAIB",0,4,9
ENCSR000DMA,"Vishwanath Iyer, UTA",0,5,1
ENCSR000BMW,"Richard Myers, HAIB",0,7,8
ENCSR000BKT,"Richard Myers, HAIB",1,6,8
ENCSR000BPJ,"Richard Myers, HAIB",0,1,13
ENCSR000BNM,"Richard Myers, HAIB",0,4,9
ENCSR000BNL,"Richard Myers, HAIB",1,2,7
ENCSR000BLI,"Richard Myers, HAIB",0,3,12
ENCSR000DOH,"Kevin Struhl, HMS",0,4,2
ENCSR000DJW,"Kevin White, UChicago",0,1,7
ENCSR000BMD,"Richard Myers, HAIB",0,4,9
ENCSR000DLY,"Vishwanath Iyer, UTA",0,1,6
ENCSR000DOD,"Kevin Struhl, HMS",3,3,9
ENCSR000BQV,"Richard Myers, HAIB",0,0,3
ENCSR000EBX,"Michael Snyder, Stanford",0,0,9
ENCSR000EBP,"Michael Snyder, Stanford",0,0,10
ENCSR000BKQ,"Richard Myers, HAIB",0,4,8
ENCSR000DNZ,"Kevin Struhl, HMS",0,0,9
ENCSR000BMG,"Richard Myers, HAIB",0,3,9
ENCSR000DLI,"Vishwanath Iyer, UTA",0,2,3
ENCSR000BNU,"Richard Myers, HAIB",0,4,7
ENCSR000BNK,"Richard Myers, HAIB",0,3,8
ENCSR000DLZ,"Vishwanath Iyer, UTA",0,6,10
ENCSR000DOJ,"Kevin Struhl, HMS",3,3,6
ENCSR000BMT,"Richard Myers, HAIB",0,3,5
ENCSR000DWE,"John Stamatoyannopoulos, UW",0,3,7
ENCSR000EBR,"Michael Snyder, Stanford",0,0,4
ENCSR000DOK,"Kevin Struhl, HMS",0,6,3
ENCSR000BLR,"Richard Myers, HAIB",0,4,10
ENCSR000BLK,"Richard Myers, HAIB",0,2,5
ENCSR000BLU,"Richard Myers, HAIB",0,0,9
ENCSR000DOA,"Kevin Struhl, HMS",1,1,10
ENCSR000DWD,"John Stamatoyannopoulos, UW",0,0,8
ENCSR000EBU,"Michael Snyder, Stanford",0,0,9
ENCSR000BME,"Richard Myers, HAIB",0,4,11
ENCSR000BMJ,"Richard Myers, HAIB",0,0,4
ENCSR000BQG,"Richard Myers, HAIB",0,0,7
ENCSR000BNS,"Richard Myers, HAIB",0,1,9
ENCSR000BKR,"Richard Myers, HAIB",0,5,8
ENCSR000DWB,"John Stamatoyannopoulos, UW",0,6,4
ENCSR000BNW,"Richard Myers, HAIB",0,1,6
ENCSR000EWM,"Peggy Farnham, USC",1,3,3
ENCSR000ECF,"Michael Snyder, Stanford",0,0,8
ENCSR000EUO,"Peggy Farnham, USC",0,3,8
ENCSR000EUN,"Peggy Farnham, USC",1,0,9
ENCSR000EFR,"Michael Snyder, Stanford",0,0,9
ENCSR000EGF,"Michael Snyder, Stanford",0,0,8
ENCSR000FAG,"Sherman Weissman, Yale",2,2,3
ENCSR000EGZ,"Michael Snyder, Stanford",0,0,10
ENCSR000ECC,"Michael Snyder, Stanford",0,0,9
ENCSR000EGQ,"Michael Snyder, Stanford",2,3,8
ENCSR000EHF,"Michael Snyder, Stanford",1,3,1
ENCSR000EGY,"Michael Snyder, Stanford",1,1,5
ENCSR000EFV,"Michael Snyder, Stanford",0,1,10
ENCSR000EVY,"Peggy Farnham, USC",0,2,9
ENCSR000EGW,"Michael Snyder, Stanford",0,1,7
ENCSR000FAI,"Sherman Weissman, Yale",3,3,3
ENCSR000EBZ,"Michael Snyder, Stanford",0,0,10
ENCSR000EHC,"Michael Snyder, Stanford",0,0,8
ENCSR000EBY,"Michael Snyder, Stanford",0,0,13
ENCSR000EWE,"Peggy Farnham, USC",0,4,2
ENCSR000ECB,"Michael Snyder, Stanford",0,0,7
ENCSR000EWA,"Peggy Farnham, USC",0,0,12
ENCSR000EFN,"Michael Snyder, Stanford",0,0,9
ENCSR000EGV,"Michael Snyder, Stanford",0,0,6
ENCSR000EFU,"Michael Snyder, Stanford",0,0,9
ENCSR000EGJ,"Michael Snyder, Stanford",0,0,9
ENCSR000EFS,"Michael Snyder, Stanford",0,0,14
ENCSR000EGR,"Michael Snyder, Stanford",1,4,9
ENCSR000EVZ,"Peggy Farnham, USC",0,0,5
ENCSR000FAF,"Sherman Weissman, Yale",2,2,2
ENCSR000EFO,"Michael Snyder, Stanford",0,0,8
ENCSR000EVX,"Peggy Farnham, USC",0,0,15
ENCSR000EFP,"Michael Snyder, Stanford",0,0,10
ENCSR000ECE,"Michael Snyder, Stanford",0,0,7
ENCSR000EHO,"Michael Snyder, Stanford",0,3,5
ENCSR000EHL,"Michael Snyder, Stanford",0,4,4
ENCSR000FAJ,"Sherman Weissman, Yale",0,4,2
ENCSR000EHN,"Michael Snyder, Stanford",0,2,8
ENCSR000EHB,"Michael Snyder, Stanford",0,0,11
ENCSR000EHE,"Michael Snyder, Stanford",0,0,7
ENCSR000EHQ,"Michael Snyder, Stanford",2,3,0
ENCSR000EHA,"Michael Snyder, Stanford",0,0,12
ENCSR000EWC,"Peggy Farnham, USC",0,6,10
ENCSR000EFT,"Michael Snyder, Stanford",0,0,18
ENCSR000EWH,"Peggy Farnham, USC",0,4,2
ENCSR000EGA,"Michael Snyder, Stanford",0,0,8
ENCSR000EHG,"Michael Snyder, Stanford",0,0,8
ENCSR000EWI,"Peggy Farnham, USC",0,4,2
ENCSR000EWN,"Peggy Farnham, USC",2,2,0
ENCSR000FAD,"Sherman Weissman, Yale",0,4,2
ENCSR000FCB,"Richard Myers, HAIB",0,0,2
ENCSR000EFX,"Michael Snyder, Stanford",0,0,5
ENCSR000EFW,"Michael Snyder, Stanford",0,0,15
ENCSR000EUQ,"Peggy Farnham, USC",0,3,4
ENCSR000FCC,"Richard Myers, HAIB",0,0,3
ENCSR000EWJ,"Peggy Farnham, USC",2,2,2
ENCSR000EWL,"Peggy Farnham, USC",1,3,1
ENCSR000EGX,"Michael Snyder, Stanford",0,0,6
ENCSR000EGB,"Michael Snyder, Stanford",0,0,9
ENCSR000EGC,"Michael Snyder, Stanford",0,0,11
ENCSR000EGD,"Michael Snyder, Stanford",0,0,11
ENCSR000EGG,"Michael Snyder, Stanford",0,0,6
ENCSR000FAC,"Sherman Weissman, Yale",1,3,2
ENCSR000EFQ,"Michael Snyder, Stanford",0,0,5
ENCSR000EHD,"Michael Snyder, Stanford",0,0,4
ENCSR000EGO,"Michael Snyder, Stanford",0,0,12
ENCSR000FAH,"Sherman Weissman, Yale",1,3,3
ENCSR000FCD,"Richard Myers, HAIB",0,0,2
ENCSR000EGI,"Michael Snyder, Stanford",0,0,8
ENCSR000EGN,"Michael Snyder, Stanford",0,0,10
ENCSR000EHH,"Michael Snyder, Stanford",1,0,5
ENCSR000EWF,"Peggy Farnham, USC",0,4,3
ENCSR000EFY,"Michael Snyder, Stanford",0,0,10
ENCSR000EWG,"Peggy Farnham, USC",0,5,2
ENCSR000EWD,"Peggy Farnham, USC",0,4,5
ENCSR000FAE,"Sherman Weissman, Yale",1,3,3
ENCSR000EFZ,"Michael Snyder, Stanford",0,0,14
ENCSR000EGE,"Michael Snyder, Stanford",0,0,8
ENCSR000EGM,"Michael Snyder, Stanford",0,0,10
ENCSR000EWB,"Peggy Farnham, USC",0,6,5
ENCSR008DOU,"Michael Snyder, Stanford",0,0,7
ENCSR015KAM,"Richard Myers, HAIB",0,0,7
ENCSR032DGZ,"Richard Myers, HAIB",0,0,5
ENCSR026RAK,"Michael Snyder, Stanford",0,2,5
ENCSR017EJY,"Michael Snyder, Stanford",0,0,2
ENCSR048PPE,"Richard Myers, HAIB",0,0,7
ENCSR034IND,"Richard Myers, HAIB",0,0,5
ENCSR026KKZ,"Michael Snyder, Stanford",0,0,4
ENCSR002ZGC,"Michael Snyder, Stanford",0,0,4
ENCSR084WHZ,"Richard Myers, HAIB",0,0,6
ENCSR054JMQ,"Michael Snyder, Stanford",0,0,5
ENCSR044UJJ,"Michael Snyder, Stanford",0,0,6
ENCSR004GKA,"Michael Snyder, Stanford",0,0,5
ENCSR033NQK,"Michael Snyder, Stanford",0,2,6
ENCSR065XVO,"Michael Snyder, Stanford",0,0,4
ENCSR075HTM,"Michael Snyder, Stanford",0,0,2
ENCSR028UIU,"Michael Snyder, Stanford",0,0,6
ENCSR041AXL,"Michael Snyder, Stanford",0,0,5
ENCSR033VAZ,"Michael Snyder, Stanford",0,0,0
ENCSR011PEI,"Kevin White, UChicago",0,0,5
ENCSR029TLS,"Richard Myers, HAIB",0,0,5
ENCSR068QXO,"Richard Myers, HAIB",0,0,6
ENCSR029OPK,"Richard Myers, HAIB",0,0,6
ENCSR028WJI,"Richard Myers, HAIB",0,0,6
ENCSR014ARU,"Richard Myers, HAIB",0,0,1
ENCSR000FCE,"Richard Myers, HAIB",0,0,4
ENCSR063FUV,"Richard Myers, HAIB",0,0,5
ENCSR004HEA,"Michael Snyder, Stanford",0,0,4
ENCSR077TKJ,"Michael Snyder, Stanford",0,0,7
ENCSR058DRG,"Richard Myers, HAIB",0,0,5
ENCSR011WGT,"Richard Myers, HAIB",0,0,5
ENCSR085XDP,"Richard Myers, HAIB",0,0,9
ENCSR027BEE,"Michael Snyder, Stanford",0,0,7
ENCSR091GVJ,"Michael Snyder, Stanford",0,0,2
ENCSR013UDY,"Richard Myers, HAIB",0,0,7
ENCSR038DJJ,"Michael Snyder, Stanford",0,2,3
ENCSR077DKV,"Richard Myers, HAIB",0,0,3
ENCSR019SQX,"Bradley Bernstein, Broad",0,1,9
ENCSR043VGU,"Bing Ren, UCSD",1,2,6
ENCSR057BTG,"Bing Ren, UCSD",0,6,4
ENCSR047TJL,"Bing Ren, UCSD",0,1,10
ENCSR086FZL,"Michael Snyder, Stanford",0,0,6
ENCSR085QEV,"Michael Snyder, Stanford",0,0,3
ENCSR051DXE,"Xiang-Dong Fu, UCSD",0,0,4
ENCSR038PFD,"Bing Ren, UCSD",1,0,2
ENCSR044IXA,"Michael Snyder, Stanford",0,0,0
ENCSR091JXL,"Michael Snyder, Stanford",0,0,7
