cellset,term_name,experiment,assay,target,investigated_as,biosample_summary,lab,n_audit_error,n_audit_notcompliant,n_audit_warning,endogenous_tag,keep,exclude_reason,file,output_type,preferred_default,file_size,md5sum,href
K562,K562,ENCSR772EEN,TF ChIP-seq,RELA,transcription factor,Homo sapiens K562 stably expressing RELA,"Michael Snyder, Stanford",0,0,5,eGFP,True,,ENCFF931SVP,optimal IDR thresholded peaks,True,192620.0,5645ffd3c2406c5968e2bbe78f27c11a,https://www.encodeproject.org/files/ENCFF931SVP/@@download/ENCFF931SVP.bed.gz
K562,K562,ENCSR818DQV,TF ChIP-seq,MAFG,transcription factor,Homo sapiens K562 stably expressing MAFG,"Michael Snyder, Stanford",0,0,2,eGFP,True,,ENCFF393CCU,optimal IDR thresholded peaks,True,816340.0,0f9a01aecf249adadda32dae613ae85e,https://www.encodeproject.org/files/ENCFF393CCU/@@download/ENCFF393CCU.bed.gz
K562,K562,ENCSR948KMB,TF ChIP-seq,PTBP1,RNA binding protein,Homo sapiens K562,"Xiang-Dong Fu, UCSD",0,0,4,,True,,ENCFF917HXV,optimal IDR thresholded peaks,True,84401.0,b7a99a8e16742bcfcb11974113622d69,https://www.encodeproject.org/files/ENCFF917HXV/@@download/ENCFF917HXV.bed.gz
K562,K562,ENCSR633EIC,TF ChIP-seq,PBX2,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens PBX2,"Richard Myers, HAIB",0,0,1,3xFLAG,True,,ENCFF925OBR,optimal IDR thresholded peaks,True,71594.0,a192e09fb75616923efec4f248adf041,https://www.encodeproject.org/files/ENCFF925OBR/@@download/ENCFF925OBR.bed.gz
K562,K562,ENCSR619UPN,TF ChIP-seq,ZNF133,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF133,"Michael Snyder, Stanford",0,0,4,eGFP,True,,ENCFF810OHB,IDR thresholded peaks,True,30672.0,6ba15fa2e9762fce5b6d2398d24afed0,https://www.encodeproject.org/files/ENCFF810OHB/@@download/ENCFF810OHB.bed.gz
K562,K562,ENCSR706BJO,TF ChIP-seq,ZBTB11,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB11,"Kevin White, UChicago",0,0,2,eGFP,True,,ENCFF991VAW,IDR thresholded peaks,True,487708.0,9845c6216878d760c2b1a450fe1be2f6,https://www.encodeproject.org/files/ENCFF991VAW/@@download/ENCFF991VAW.bed.gz
K562,K562,ENCSR758PLU,TF ChIP-seq,ZNF408,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF408,"Michael Snyder, Stanford",0,0,6,eGFP,True,,ENCFF207MLR,IDR thresholded peaks,True,13494.0,24051023d6fd17519b1b246acc400229,https://www.encodeproject.org/files/ENCFF207MLR/@@download/ENCFF207MLR.bed.gz
K562,K562,ENCSR635GTR,TF ChIP-seq,TEAD2,cofactor;transcription factor,Homo sapiens K562 stably expressing TEAD2,"Michael Snyder, Stanford",0,0,6,eGFP,True,,ENCFF563LGJ,optimal IDR thresholded peaks,True,122484.0,4a765afba563849acd43fff951aeb893,https://www.encodeproject.org/files/ENCFF563LGJ/@@download/ENCFF563LGJ.bed.gz
K562,K562,ENCSR729HVR,TF ChIP-seq,ZNF644,transcription factor,Homo sapiens K562 stably expressing ZNF644,"Kevin White, UChicago",0,0,3,eGFP,True,,ENCFF773XPT,IDR thresholded peaks,True,246298.0,7c22119cebb5fc32a61a7b641574c941,https://www.encodeproject.org/files/ENCFF773XPT/@@download/ENCFF773XPT.bed.gz
K562,K562,ENCSR220YXI,TF ChIP-seq,PRPF4,RNA binding protein,Homo sapiens K562,"Xiang-Dong Fu, UCSD",0,5,5,,True,,ENCFF417RQZ,optimal IDR thresholded peaks,True,124739.0,f345e7332fcc3325d1877c89f65a3cfb,https://www.encodeproject.org/files/ENCFF417RQZ/@@download/ENCFF417RQZ.bed.gz
K562,K562,ENCSR221GAN,TF ChIP-seq,MBD2,chromatin remodeler,Homo sapiens K562,"Richard Myers, HAIB",0,0,2,,True,,ENCFF617QSK,optimal IDR thresholded peaks,True,266336.0,046b782ea7920ad8889abd52fee8102b,https://www.encodeproject.org/files/ENCFF617QSK/@@download/ENCFF617QSK.bed.gz
