cellset,term_name,experiment,assay,target,investigated_as,biosample_summary,lab,n_audit_error,n_audit_notcompliant,n_audit_warning,endogenous_tag,keep,exclude_reason,file,output_type,preferred_default,file_size,md5sum,href
iPSC_ESC,WTC11,ENCSR934WOF,TF ChIP-seq,TEAD1,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens TEAD1,"Richard Myers, HAIB",0,0,5,3xFLAG,True,,ENCFF464BVI,IDR thresholded peaks,True,333139,c7b7e1cb9c6d14d86d0582f9f5e9e1de,https://www.encodeproject.org/files/ENCFF464BVI/@@download/ENCFF464BVI.bed.gz
iPSC_ESC,WTC11,ENCSR795KRU,TF ChIP-seq,ZNF317,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF317,"Richard Myers, HAIB",0,0,8,3xFLAG,True,,ENCFF859KDF,IDR thresholded peaks,True,139059,a2f8104f4b9f11942e6310940c1a5913,https://www.encodeproject.org/files/ENCFF859KDF/@@download/ENCFF859KDF.bed.gz
iPSC_ESC,WTC11,ENCSR634WRC,TF ChIP-seq,ZNF512,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF512,"Richard Myers, HAIB",0,0,2,3xFLAG,True,,ENCFF545DCW,IDR thresholded peaks,True,109924,5bb37647ceb90f2ffd1c305a80186292,https://www.encodeproject.org/files/ENCFF545DCW/@@download/ENCFF545DCW.bed.gz
iPSC_ESC,WTC11,ENCSR992XTY,TF ChIP-seq,CTCF,transcription factor,Homo sapiens WTC11,"Bradley Bernstein, Broad",0,0,36,,True,,ENCFF112GJQ,IDR thresholded peaks,True,553996,95a48b97fdae4a8c5c37b4b824823add,https://www.encodeproject.org/files/ENCFF112GJQ/@@download/ENCFF112GJQ.bed.gz
iPSC_ESC,WTC11,ENCSR473ASI,TF ChIP-seq,ELF4,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ELF4,"Richard Myers, HAIB",0,0,11,3xFLAG,True,,ENCFF567ADL,IDR thresholded peaks,True,56845,b4ef946a53327952a108101ee0cfa3b1,https://www.encodeproject.org/files/ENCFF567ADL/@@download/ENCFF567ADL.bed.gz
iPSC_ESC,WTC11,ENCSR572DUR,TF ChIP-seq,FOS,transcription factor,"Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens FOS, (insertion) using TALEN inserting M. musculus Neurog2","Michael Snyder, Stanford",0,0,6,eGFP,False,"perturbing GM: purpose=expression,method=TALEN,target=?",ENCFF574QJR,IDR thresholded peaks,True,17773,f43b3e680bf1d11bb49c5c96eb14e0f1,https://www.encodeproject.org/files/ENCFF574QJR/@@download/ENCFF574QJR.bed.gz
iPSC_ESC,WTC11,ENCSR583CGO,TF ChIP-seq,SP1,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens SP1,"Richard Myers, HAIB",0,0,1,3xFLAG,True,,ENCFF854DMH,conservative IDR thresholded peaks,True,431809,4f4f296728286ab971d935b0e1dff9f5,https://www.encodeproject.org/files/ENCFF854DMH/@@download/ENCFF854DMH.bed.gz
iPSC_ESC,WTC11,ENCSR029TLS,TF ChIP-seq,ETV6,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ETV6,"Richard Myers, HAIB",0,0,5,3xFLAG,True,,ENCFF008QFJ,IDR thresholded peaks,True,362000,27ca391478c8b10c9c062eeb4a7edb4e,https://www.encodeproject.org/files/ENCFF008QFJ/@@download/ENCFF008QFJ.bed.gz
iPSC_ESC,WTC11,ENCSR513WUJ,TF ChIP-seq,SIX4,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens SIX4,"Richard Myers, HAIB",0,0,1,3xFLAG,True,,ENCFF847XQW,IDR thresholded peaks,True,163634,6ce8aceb5a2be1f90cc0cc420a8abbfa,https://www.encodeproject.org/files/ENCFF847XQW/@@download/ENCFF847XQW.bed.gz
iPSC_ESC,WTC11,ENCSR943MQH,TF ChIP-seq,ZBTB33,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB33,"Richard Myers, HAIB",0,1,6,3xFLAG,True,,ENCFF231XIJ,IDR thresholded peaks,True,100831,2260813033c00afb9fb61621bf516200,https://www.encodeproject.org/files/ENCFF231XIJ/@@download/ENCFF231XIJ.bed.gz
